id,full_name,age,gender,device_type,ad_position,browsing_history,time_of_day,click,segment,clv
7808,User7808,26.0,Female,Desktop,Top,,Unknown,1,Young,3224
5065,User5065,40.0,Male,Mobile,Side,,Evening,0,Mid-Young,9792
188,User188,56.0,Female,Tablet,Bottom,News,Morning,1,Old,7524
4890,User4890,43.0,Male,Tablet,Bottom,Education,Afternoon,1,Mid-Old,3986
1729,User1729,26.0,Female,Mobile,Top,,Afternoon,1,Young,5968
4985,User4985,37.0,Male,Mobile,Top,News,Evening,0,Mid-Young,2436
2542,User2542,58.0,Non-Binary,Mobile,Side,,Evening,1,Old,3660
5881,User5881,26.0,Non-Binary,Tablet,Top,,Morning,1,Young,9108
5574,User5574,52.0,Female,Desktop,Bottom,,Afternoon,1,Mid-Old,3956
9806,User9806,58.0,Male,Tablet,Bottom,,Unknown,1,Old,7553
9888,User9888,49.0,Male,Mobile,Top,News,Morning,1,Mid-Old,4092
2431,User2431,54.0,Male,Desktop,Top,,Night,1,Old,8626
8996,User8996,22.0,Female,Desktop,,Entertainment,Evening,0,Young,8852
7545,User7545,25.0,Male,Tablet,,News,Evening,0,Young,7634
1762,User1762,41.0,Male,Desktop,,Entertainment,Afternoon,1,Mid-Old,4964
8201,User8201,59.0,Female,Desktop,Bottom,Social Media,Morning,0,Old,7517
9896,User9896,45.0,Female,Desktop,Side,,Afternoon,0,Mid-Old,7625
5531,User5531,34.0,Male,Desktop,Top,News,Unknown,1,Mid-Young,5635
5338,User5338,51.0,Male,Mobile,,Social Media,Morning,1,Mid-Old,2613
5821,User5821,31.0,Female,Desktop,,Education,Unknown,0,Mid-Young,3150
9153,User9153,61.0,Non-Binary,Tablet,Bottom,,Morning,0,Old,6381
2096,User2096,48.0,Non-Binary,Desktop,Top,,Night,1,Mid-Old,715
5484,User5484,64.0,Female,Mobile,Side,Education,Morning,0,Old,8779
3801,User3801,26.0,Non-Binary,Desktop,Side,,Evening,1,Young,6996
5703,User5703,55.0,Female,Tablet,Side,Shopping,Night,0,Old,3679
820,User820,39.0,Non-Binary,Mobile,Side,Social Media,Afternoon,0,Mid-Young,5389
4630,User4630,19.0,Non-Binary,Tablet,Side,Shopping,Evening,0,Young,4330
8253,User8253,57.0,Non-Binary,Desktop,Bottom,Entertainment,Unknown,1,Old,8391
118,User118,43.0,Female,Tablet,Bottom,Social Media,Night,0,Mid-Old,8944
3007,User3007,42.0,Male,Desktop,Top,Shopping,Night,0,Mid-Old,9932
5194,User5194,53.0,Male,Mobile,Top,,Unknown,1,Old,8035
4611,User4611,20.0,Female,Tablet,,Social Media,Night,0,Young,5471
2023,User2023,19.0,Non-Binary,Desktop,,,Unknown,1,Young,6249
7805,User7805,36.0,Male,Mobile,,,Afternoon,0,Mid-Young,1996
3062,User3062,34.0,Male,Desktop,Bottom,Entertainment,Evening,1,Mid-Young,3379
9647,User9647,34.0,Non-Binary,Desktop,Side,,Evening,0,Mid-Young,1830
9732,User9732,27.0,Male,Desktop,,Education,Evening,0,Young,8387
2757,User2757,35.0,Female,Mobile,Bottom,Social Media,Night,0,Mid-Young,6091
6438,User6438,53.0,Non-Binary,Tablet,,,Night,1,Old,5317
9842,User9842,43.0,Non-Binary,Mobile,,Shopping,Afternoon,1,Mid-Old,2190
6989,User6989,28.0,Male,Mobile,,Shopping,Afternoon,1,Young,7791
2156,User2156,46.0,Female,Tablet,Side,,Unknown,1,Mid-Old,601
8530,User8530,52.0,Female,Mobile,Top,Social Media,Afternoon,1,Mid-Old,8227
9748,User9748,47.0,Non-Binary,Tablet,Bottom,Entertainment,Afternoon,0,Mid-Old,6249
5082,User5082,44.0,Female,Mobile,Top,,Afternoon,1,Mid-Old,3400
5329,User5329,54.0,Male,Tablet,Side,,Evening,1,Old,3939
9990,User9990,25.0,Male,Desktop,Side,,Night,1,Young,7625
4625,User4625,33.0,Non-Binary,Mobile,Top,News,Morning,0,Mid-Young,1502
8459,User8459,38.0,Non-Binary,Tablet,Bottom,Entertainment,Morning,1,Mid-Young,3953
3215,User3215,33.0,Male,Mobile,Side,,Afternoon,0,Mid-Young,9192
1908,User1908,26.0,Male,Mobile,Bottom,,Evening,1,Young,2074
9137,User9137,35.0,Female,Desktop,Side,Social Media,Unknown,0,Mid-Young,8202
8085,User8085,35.0,Non-Binary,Mobile,,,Evening,0,Mid-Young,3183
933,User933,41.0,Female,Tablet,,Entertainment,Night,0,Mid-Old,3722
6167,User6167,20.0,Male,Mobile,Side,Shopping,Night,1,Young,8479
6919,User6919,45.0,Non-Binary,Desktop,Top,Social Media,Night,0,Mid-Old,4074
7808,User7808,26.0,Female,Desktop,Top,,Night,1,Young,7688
4450,User4450,45.0,Female,Mobile,Top,,Evening,0,Mid-Old,2492
8174,User8174,20.0,Female,Mobile,Bottom,,Unknown,1,Young,9279
8561,User8561,52.0,Male,Mobile,Bottom,,Evening,1,Mid-Old,1359
7678,User7678,53.0,Female,Desktop,Top,Social Media,Night,0,Old,4642
