id,full_name,age,gender,device_type,ad_position,browsing_history,time_of_day,click
7808,User7808,26.0,Female,Desktop,Top,,Unknown,1
5065,User5065,40.0,Male,Mobile,Side,,Evening,0
188,User188,56.0,Female,Tablet,Bottom,News,Morning,1
4890,User4890,43.0,Male,Tablet,Bottom,Education,Afternoon,1
1729,User1729,26.0,Female,Mobile,Top,,Afternoon,1
4985,User4985,37.0,Male,Mobile,Top,News,Evening,0
2542,User2542,58.0,Non-Binary,Mobile,Side,,Evening,1
5881,User5881,26.0,Non-Binary,Tablet,Top,,Morning,1
5574,User5574,52.0,Female,Desktop,Bottom,,Afternoon,1
9806,User9806,58.0,Male,Tablet,Bottom,,Unknown,1
9888,User9888,49.0,Male,Mobile,Top,News,Morning,1
2431,User2431,54.0,Male,Desktop,Top,,Night,1
8996,User8996,22.0,Female,Desktop,,Entertainment,Evening,0
7545,User7545,25.0,Male,Tablet,,News,Evening,0
1762,User1762,41.0,Male,Desktop,,Entertainment,Afternoon,1
8201,User8201,59.0,Female,Desktop,Bottom,Social Media,Morning,0
9896,User9896,45.0,Female,Desktop,Side,,Afternoon,0
5531,User5531,34.0,Male,Desktop,Top,News,Unknown,1
5338,User5338,51.0,Male,Mobile,,Social Media,Morning,1
5821,User5821,31.0,Female,Desktop,,Education,Unknown,0
9153,User9153,61.0,Non-Binary,Tablet,Bottom,,Morning,0
2096,User2096,48.0,Non-Binary,Desktop,Top,,Night,1
5484,User5484,64.0,Female,Mobile,Side,Education,Morning,0
3801,User3801,26.0,Non-Binary,Desktop,Side,,Evening,1
5703,User5703,55.0,Female,Tablet,Side,Shopping,Night,0
820,User820,39.0,Non-Binary,Mobile,Side,Social Media,Afternoon,0
4630,User4630,19.0,Non-Binary,Tablet,Side,Shopping,Evening,0
8253,User8253,57.0,Non-Binary,Desktop,Bottom,Entertainment,Unknown,1
118,User118,43.0,Female,Tablet,Bottom,Social Media,Night,0
3007,User3007,42.0,Male,Desktop,Top,Shopping,Night,0
5194,User5194,53.0,Male,Mobile,Top,,Unknown,1
4611,User4611,20.0,Female,Tablet,,Social Media,Night,0
2023,User2023,19.0,Non-Binary,Desktop,,,Unknown,1
7805,User7805,36.0,Male,Mobile,,,Afternoon,0
3062,User3062,34.0,Male,Desktop,Bottom,Entertainment,Evening,1
9647,User9647,34.0,Non-Binary,Desktop,Side,,Evening,0
9732,User9732,27.0,Male,Desktop,,Education,Evening,0
2757,User2757,35.0,Female,Mobile,Bottom,Social Media,Night,0
