id,full_name,age,gender,device_type,ad_position,browsing_history,time_of_day,click,purchase_value,purchase_frequency,CLV,CLV_scaled,CLV_segment
7808,User7808,26.0,Female,Desktop,Top,,Unknown,1,87.41722139252525,8,699.337771140202,0.3772649459987824,High CLV
5065,User5065,40.0,Male,Mobile,Side,,Evening,0,191.1285751537849,4,764.5143006151396,0.540117783765892,High CLV
188,User188,56.0,Female,Tablet,Bottom,News,Morning,1,151.75890952605292,9,1365.8301857344763,2.042591129232696,Medium CLV
4890,User4890,43.0,Male,Tablet,Bottom,Education,Afternoon,1,127.7585271554666,5,638.792635777333,0.22598430577033246,High CLV
1729,User1729,26.0,Female,Mobile,Top,,Afternoon,1,48.083355279638575,3,144.25006583891573,-1.0097007109054903,Low CLV
4985,User4985,37.0,Male,Mobile,Top,News,Evening,0,48.07901366051648,9,432.7111229446483,-0.28893969289159294,Low CLV
2542,User2542,58.0,Non-Binary,Mobile,Side,,Evening,1,30.455050190275905,9,274.09545171248317,-0.6852635288274387,Low CLV
5881,User5881,26.0,Non-Binary,Tablet,Top,,Morning,1,175.91170623948832,4,703.6468249579533,0.3880317304220285,High CLV
5574,User5574,52.0,Female,Desktop,Bottom,,Afternoon,1,128.2007021137776,4,512.8028084551104,-0.0888192143695639,High CLV
9806,User9806,58.0,Male,Tablet,Bottom,,Unknown,1,147.4530640032882,8,1179.6245120263056,1.5773297442524994,Medium CLV
9888,User9888,49.0,Male,Mobile,Top,News,Morning,1,23.70520897324444,2,47.41041794648888,-1.2516683577669834,Low CLV
2431,User2431,54.0,Male,Desktop,Top,,Night,1,194.58377338915898,9,1751.2539605024308,3.0056273014487798,Medium CLV
8996,User8996,22.0,Female,Desktop,,Entertainment,Evening,0,169.8396753440759,6,1019.0380520644555,1.1760816121036735,Medium CLV
7545,User7545,25.0,Male,Tablet,,News,Evening,0,58.22103992208971,9,523.9893592988074,-0.06086802451029669,High CLV
1762,User1762,41.0,Male,Desktop,,Entertainment,Afternoon,1,52.72849409727811,8,421.82795277822487,-0.3161328429378213,Low CLV
8201,User8201,59.0,Female,Desktop,Bottom,Social Media,Morning,0,53.01281177361809,7,371.08968241532665,-0.4429096348068965,Low CLV
9896,User9896,45.0,Female,Desktop,Side,,Afternoon,0,74.76360373271679,1,74.76360373271679,-1.1833225289365132,Low CLV
5531,User5531,34.0,Male,Desktop,Top,News,Unknown,1,114.45615769380281,3,343.3684730814084,-0.5121750228650414,Low CLV
5338,User5338,51.0,Male,Mobile,,Social Media,Morning,1,97.75010335558083,2,195.50020671116167,-0.8816449376962282,Low CLV
5821,User5821,31.0,Female,Desktop,,Education,Unknown,0,72.42124523564755,5,362.10622617823776,-0.46535607914740296,Low CLV
9153,User9153,61.0,Non-Binary,Tablet,Bottom,,Morning,0,130.13352105002832,5,650.6676052501416,0.25565560758133665,High CLV
2096,User2096,48.0,Non-Binary,Desktop,Top,,Night,1,45.10889491736753,5,225.54447458683765,-0.8065750571486537,Low CLV
5484,User5484,64.0,Female,Mobile,Side,Education,Morning,0,72.58603673633927,4,290.34414694535707,-0.6446638505382787,Low CLV
3801,User3801,26.0,Non-Binary,Desktop,Side,,Evening,1,85.9451317928645,5,429.7256589643225,-0.29639929967281164,Low CLV
5703,User5703,55.0,Female,Tablet,Side,Shopping,Night,0,102.09259715906647,3,306.2777914771994,-0.604851371277923,Low CLV
820,User820,39.0,Non-Binary,Mobile,Side,Social Media,Afternoon,0,161.33167305074244,1,161.33167305074244,-0.9670198834591809,Low CLV
4630,User4630,19.0,Non-Binary,Tablet,Side,Shopping,Evening,0,55.941280788504756,5,279.70640394252376,-0.6712437658759736,Low CLV
8253,User8253,57.0,Non-Binary,Desktop,Bottom,Entertainment,Unknown,1,112.5621989144501,9,1013.0597902300508,1.161144073813575,Medium CLV
118,User118,43.0,Female,Tablet,Bottom,Social Media,Night,0,126.63462239516764,9,1139.7116015565089,1.4776016552315827,Medium CLV
3007,User3007,42.0,Male,Desktop,Top,Shopping,Night,0,28.361074289599593,4,113.44429715839837,-1.086673309625226,Low CLV
5194,User5194,53.0,Male,Mobile,Top,,Unknown,1,129.3580733422589,3,388.07422002677674,-0.40047134957646763,Low CLV
4611,User4611,20.0,Female,Tablet,,Social Media,Night,0,50.69434226371247,1,50.69434226371247,-1.2434630053436402,Low CLV
2023,User2023,19.0,Non-Binary,Desktop,,,Unknown,1,31.70928673735031,2,63.41857347470062,-1.211669702174421,Low CLV
7805,User7805,36.0,Male,Mobile,,,Afternoon,0,190.79939670559997,8,1526.3951736447998,2.4437856104039084,Medium CLV
3062,User3062,34.0,Male,Desktop,Bottom,Entertainment,Evening,1,193.81376595342067,1,193.81376595342067,-0.8858587500200318,Low CLV
9647,User9647,34.0,Non-Binary,Desktop,Side,,Evening,0,165.511522660963,8,1324.092181287704,1.938302783080316,Medium CLV
9732,User9732,27.0,Male,Desktop,,Education,Evening,0,74.83047845120672,7,523.813349158447,-0.06130781090371767,High CLV
2757,User2757,35.0,Female,Mobile,Bottom,Social Media,Night,0,37.5809805211491,8,300.6478441691928,-0.6189185961359255,Low CLV
6438,User6438,53.0,Non-Binary,Tablet,,,Night,1,143.16194477218824,6,858.9716686331294,0.7761329652071954,High CLV
9842,User9842,43.0,Non-Binary,Mobile,,Shopping,Afternoon,1,99.22744887312824,9,893.0470398581541,0.8612751313622199,High CLV
6989,User6989,28.0,Male,Mobile,,Shopping,Afternoon,1,41.96688227206019,3,125.90064681618057,-1.0555493466537202,Low CLV
2156,User2156,46.0,Female,Tablet,Side,,Unknown,1,109.13184382002864,4,436.52737528011454,-0.2794042431296504,Low CLV
