id,full_name,age,gender,device_type,ad_position,browsing_history,time_of_day,click,price,revenue
7808,User7808,26.0,Female,Desktop,Top,,Unknown,1,43.708610696262625,43.708610696262625
5065,User5065,40.0,Male,Mobile,Side,,Evening,0,95.56428757689245,0.0
188,User188,56.0,Female,Tablet,Bottom,News,Morning,1,75.87945476302646,75.87945476302646
4890,User4890,43.0,Male,Tablet,Bottom,Education,Afternoon,1,63.8792635777333,63.8792635777333
1729,User1729,26.0,Female,Mobile,Top,,Afternoon,1,24.041677639819287,24.041677639819287
4985,User4985,37.0,Male,Mobile,Top,News,Evening,0,24.03950683025824,0.0
2542,User2542,58.0,Non-Binary,Mobile,Side,,Evening,1,15.227525095137953,15.227525095137953
5881,User5881,26.0,Non-Binary,Tablet,Top,,Morning,1,87.95585311974416,87.95585311974416
5574,User5574,52.0,Female,Desktop,Bottom,,Afternoon,1,64.1003510568888,64.1003510568888
9806,User9806,58.0,Male,Tablet,Bottom,,Unknown,1,73.7265320016441,73.7265320016441
9888,User9888,49.0,Male,Mobile,Top,News,Morning,1,11.85260448662222,11.85260448662222
2431,User2431,54.0,Male,Desktop,Top,,Night,1,97.29188669457949,97.29188669457949
8996,User8996,22.0,Female,Desktop,,Entertainment,Evening,0,84.91983767203796,0.0
7545,User7545,25.0,Male,Tablet,,News,Evening,0,29.110519961044854,0.0
1762,User1762,41.0,Male,Desktop,,Entertainment,Afternoon,1,26.364247048639054,26.364247048639054
8201,User8201,59.0,Female,Desktop,Bottom,Social Media,Morning,0,26.506405886809045,0.0
9896,User9896,45.0,Female,Desktop,Side,,Afternoon,0,37.381801866358394,0.0
5531,User5531,34.0,Male,Desktop,Top,News,Unknown,1,57.228078846901404,57.228078846901404
5338,User5338,51.0,Male,Mobile,,Social Media,Morning,1,48.87505167779042,48.87505167779042
5821,User5821,31.0,Female,Desktop,,Education,Unknown,0,36.21062261782377,0.0
9153,User9153,61.0,Non-Binary,Tablet,Bottom,,Morning,0,65.06676052501416,0.0
2096,User2096,48.0,Non-Binary,Desktop,Top,,Night,1,22.554447458683764,22.554447458683764
5484,User5484,64.0,Female,Mobile,Side,Education,Morning,0,36.29301836816963,0.0
3801,User3801,26.0,Non-Binary,Desktop,Side,,Evening,1,42.97256589643225,42.97256589643225
5703,User5703,55.0,Female,Tablet,Side,Shopping,Night,0,51.046298579533236,0.0
820,User820,39.0,Non-Binary,Mobile,Side,Social Media,Afternoon,0,80.66583652537122,0.0
4630,User4630,19.0,Non-Binary,Tablet,Side,Shopping,Evening,0,27.970640394252378,0.0
8253,User8253,57.0,Non-Binary,Desktop,Bottom,Entertainment,Unknown,1,56.28109945722505,56.28109945722505
118,User118,43.0,Female,Tablet,Bottom,Social Media,Night,0,63.31731119758382,0.0
