Pgroup,Lp,PKod,Pname,p_sale_in_time,Psale,Pavarage_stock,Rotation_in_days,Rotation_in_times
ART._HYGIENIC,,,,,,,,
 ,1.0,8478.0,BAMBINO SZAMPON 400 ML,"0,013368984","5,00","0,00",0,
 ,1.0,17048.0,BELLA PODPASKI BLUE MAX,"0,024064171","9,00","0,00",0,
 ,1.0,41.0,BELLA PODPASKI NORMAL 20 B/SKRZYD,"0,136363636","51,00","0,00",0,
 ,1.0,2155.0,BELLA PODPASKI PERF.BLUE 10,"0,06684492","25,00","0,00",0,
 ,1.0,2918.0,BELLA PODPASKI PERFECTA GREEN,"0,024064171","9,00","0,00",0,
 ,1.0,8473.0,EVA MYDLO W PLYNIE Z DOZ 500 MML,"0,016042781","6,00","0,00",0,
 ,1.0,8474.0,EVA MYDLO W PLYNIE Z DOZOW.500 ML,"0,00802139","3,00","0,00",0,
 ,1.0,8479.0,PLYN DO ?AZIENKI 1 L ZÓ?TY,"0,00802139","3,00","0,00",0,
 ,1.0,8480.0,PLYN DO ZATLUSZCZONYCH POWIERZCHNI  750,"0,010695187","4,00","0,00",0,
 ,1.0,8481.0,PLYN KAMIEN I RDZA 750 ML,"0,010695187","4,00","0,00",0,
 ,1.0,8475.0,SZAMPON HEAD S CHOUERS 400 ML CYTRUS,"0,002673797","1,00","0,00",0,
 ,1.0,8476.0,SZAMPON HEADS SHOULDERS 400 ML PIELEGNAC,"0,00802139","3,00","0,00",0,
 ,1.0,360.0,TAMPON BELLA A/8 REGULAR,"0,024064171","9,00","0,00",0,
 ,1.0,361.0,TAMPONY BELLA A/8 SUPER,"0,013368984","5,00","0,00",0,
 ,1.0,156.0,WATA 100G BELLA,"0,021390374","8,00","0,00",0,
 ,1.0,155.0,WATA BAWELNIANA BELLA 100G,"0,005347594","2,00","0,00",0,
 ,1.0,8482.0,ODSWIEZACZ SZYSZKA ZAPAS,"0,013368984","5,00","2,00","149,6","2,5"
