CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12347.0,96,5,2540.29,0,High Value
12355.0,97,1,459.4,0,High Value
12356.0,129,1,481.46000000000004,0,High Value
12357.0,183,1,6207.67,0,High Value
12358.0,4,2,1168.06,0,High Value
12359.0,10,3,3495.73,0,High Value
12362.0,31,5,2135.79,0,High Value
12363.0,37,1,299.1,0,High Value
12370.0,69,1,938.39,0,High Value
12371.0,31,1,1527.96,0,High Value
12372.0,36,1,515.7,0,High Value
12380.0,158,1,607.5500000000001,0,High Value
12381.0,1,5,1845.31,0,High Value
12383.0,10,2,750.61,0,High Value
12384.0,30,2,585.27,0,High Value
12386.0,193,2,401.9,0,High Value
12388.0,99,2,334.95000000000005,0,High Value
12393.0,40,2,884.1,0,High Value
12394.0,154,2,1272.48,0,High Value
12395.0,6,7,1762.63,0,High Value
12399.0,3,3,820.6,0,High Value
12401.0,100,1,84.3,0,High Value
12406.0,96,1,1621.25,0,High Value
12407.0,187,1,719.06,0,High Value
12408.0,153,2,1396.78,0,High Value
12409.0,66,1,6207.08,0,High Value
12413.0,193,2,673.45,0,High Value
12414.0,189,2,319.61,0,High Value
12417.0,182,4,1572.48,0,High Value
12420.0,154,1,600.39,0,High Value
12423.0,90,3,548.92,0,High Value
12427.0,62,2,586.08,0,High Value
12428.0,33,6,6580.52,0,High Value
12431.0,3,7,3055.05,0,High Value
12433.0,90,5,9033.92,0,High Value
12437.0,10,7,2040.81,0,High Value
12442.0,182,1,172.06,0,High Value
12444.0,1,2,1636.08,0,High Value
12447.0,68,1,476.49,0,High Value
12449.0,93,3,2724.58,0,High Value
12450.0,187,1,96.0,0,High Value
12455.0,187,3,477.46000000000004,0,High Value
12461.0,126,2,826.88,0,High Value
12462.0,100,1,762.11,0,High Value
12463.0,7,1,350.57,0,High Value
12472.0,153,2,1899.38,0,High Value
12473.0,61,3,1726.51,0,High Value
12474.0,4,3,1179.64,0,High Value
12477.0,39,2,3415.19,0,High Value
12478.0,182,1,680.99,0,High Value
12480.0,30,2,1952.93,0,High Value
12481.0,163,3,2070.23,0,High Value
12483.0,36,4,1185.46,0,High Value
12484.0,153,3,2017.24,0,High Value
12489.0,163,1,334.93,0,High Value
12490.0,97,4,2463.06,0,High Value
12492.0,154,1,136.82,0,High Value
12500.0,71,3,745.03,0,High Value
12501.0,163,1,2169.39,0,High Value
12502.0,189,4,3021.07,0,High Value
12504.0,91,1,449.4,0,High Value
12507.0,157,1,46.75,0,High Value
12508.0,61,1,275.19,0,High Value
12516.0,5,1,583.2,0,High Value
12517.0,30,4,2085.64,0,High Value
12518.0,1,3,1207.16,0,High Value
12519.0,154,1,340.84,0,High Value
12520.0,38,1,987.42,0,High Value
12523.0,10,3,398.7,0,High Value
12524.0,71,4,2962.6,0,High Value
12526.0,90,2,797.38,0,High Value
12528.0,130,2,552.64,0,High Value
12530.0,31,3,1244.68,0,High Value
12532.0,91,1,349.83000000000004,0,High Value
12535.0,93,2,716.35,0,High Value
12536.0,31,1,4279.71,0,High Value
12538.0,61,1,363.95,0,High Value
12539.0,71,1,1715.85,0,High Value
12540.0,40,8,5047.38,0,High Value
12541.0,61,2,757.44,0,High Value
12553.0,1,4,1356.57,0,High Value
12556.0,34,1,312.9,0,High Value
12557.0,40,3,8183.46,0,High Value
12561.0,70,1,238.85,0,High Value
12567.0,127,6,4643.61,0,High Value
12571.0,64,1,248.35,0,High Value
12576.0,131,4,1076.6299999999999,0,High Value
12580.0,160,1,415.7,0,High Value
12583.0,1,9,5093.2699999999995,0,High Value
12584.0,158,4,835.94,0,High Value
12589.0,30,1,515.1800000000001,0,High Value
12590.0,6,2,9864.26,0,High Value
12592.0,67,2,437.6,0,High Value
12594.0,64,3,850.83,0,High Value
12596.0,37,1,269.95,0,High Value
12597.0,96,1,912.66,0,High Value
12598.0,30,4,1200.32,0,High Value
12599.0,34,4,636.3,0,High Value
12600.0,30,3,884.02,0,High Value
12601.0,40,3,325.46,0,High Value
12602.0,1,1,153.12,0,High Value
12607.0,62,1,1579.51,0,High Value
12609.0,188,1,512.8,0,High Value
12614.0,161,1,315.6,0,High Value
12615.0,152,2,1079.8,0,High Value
12617.0,61,1,355.53,0,High Value
12619.0,183,2,871.84,0,High Value
12621.0,6,5,3424.84,0,High Value
12623.0,130,1,305.1,0,High Value
12625.0,6,1,967.2,0,High Value
12626.0,184,2,2440.39,0,High Value
12627.0,184,3,2441.14,0,High Value
